Gene ID,Gene name,P-value (D5 vs Control),FDR step up (D5 vs Control),Ratio (D5 vs Control),Fold change (D5 vs Control),LSMean(D5) (D5 vs Control),LSMean(Control) (D5 vs Control)
Adprm,Adprm,5.53E-03,6.86E-02,5.26E-01,-1.90E+00,7.19E+01,1.37E+02
Adra1a,Adra1a,9.61E-01,9.87E-01,9.85E-01,-1.01E+00,8.80E+01,8.93E+01
Adra1b,Adra1b,8.46E-02,3.34E-01,5.37E-01,-1.86E+00,5.88E+01,1.09E+02
Adra1d,Adra1d,2.67E-01,5.85E-01,6.05E-01,-1.65E+00,2.20E+01,3.64E+01
Adra2a,Adra2a,3.88E-01,6.92E-01,6.70E-01,-1.49E+00,3.52E+01,5.26E+01
Adra2b,Adra2b,6.77E-01,?,7.41E-01,-1.35E+00,6.46E+00,8.72E+00
Adra2c,Adra2c,6.05E-02,?,1.98E-01,-5.04E+00,4.48E+00,2.26E+01
Adrb1,Adrb1,7.94E-01,?,1.32E+00,1.32E+00,8.08E+00,6.12E+00
Adrb2,Adrb2,6.21E-01,8.40E-01,1.12E+00,1.12E+00,3.19E+02,2.84E+02
Adrb3,Adrb3,7.32E-01,?,1.91E+00,1.91E+00,2.92E+00,1.53E+00
Adrm1,Adrm1,1.19E-01,3.95E-01,1.19E+00,1.19E+00,6.56E+02,5.52E+02
Adsl,Adsl,5.39E-01,7.92E-01,9.14E-01,-1.09E+00,5.00E+02,5.47E+02
Adss,Adss,7.71E-02,3.20E-01,1.22E+00,1.22E+00,1.46E+03,1.20E+03
Adssl1,Adssl1,4.93E-01,7.62E-01,1.13E+00,1.13E+00,1.25E+02,1.11E+02
Adtrp,Adtrp,3.30E-01,?,2.19E+00,2.19E+00,7.50E+00,3.42E+00
Aebp1,Aebp1,5.48E-01,7.98E-01,1.15E+00,1.15E+00,2.57E+04,2.24E+04
Aebp2,Aebp2,6.39E-02,2.87E-01,1.29E+00,1.29E+00,1.03E+03,8.01E+02
Aen,Aen,1.42E-02,1.21E-01,1.54E+00,1.54E+00,4.15E+02,2.70E+02
AF067061,AF067061,2.73E-01,?,1.21E-01,-8.27E+00,7.68E-01,6.35E+00
AF366264,AF366264,5.13E-01,?,3.02E-01,-3.31E+00,1.55E+00,5.12E+00
Afap1,Afap1,7.35E-01,8.98E-01,1.04E+00,1.04E+00,2.93E+03,2.81E+03
Afap1l1,Afap1l1,1.16E-01,3.91E-01,1.58E+00,1.58E+00,2.66E+02,1.68E+02
Afap1l2,Afap1l2,2.73E-02,1.79E-01,5.84E-01,-1.71E+00,2.68E+02,4.58E+02
Afdn,Afdn,2.18E-01,5.32E-01,1.17E+00,1.17E+00,3.93E+03,3.37E+03
Sell,Sell,2.14E-03,3.83E-02,9.90E+00,9.90E+00,1.47E+01,1.48E+00
Aff2,Aff2,8.36E-01,9.41E-01,1.04E+00,1.04E+00,4.15E+02,4.01E+02
Aff3,Aff3,1.40E-01,4.27E-01,1.30E+00,1.30E+00,1.63E+03,1.26E+03
Gm42462,Gm42462,1.33E-03,2.85E-02,9.50E+00,9.50E+00,1.87E+01,1.96E+00
Afg1l,Afg1l,2.89E-01,6.08E-01,7.96E-01,-1.26E+00,1.19E+02,1.49E+02
Afg3l1,Afg3l1,7.37E-01,8.99E-01,9.36E-01,-1.07E+00,3.39E+02,3.62E+02
Cngb1,Cngb1,1.59E-03,3.17E-02,9.36E+00,9.36E+00,1.84E+01,1.97E+00
Afmid,Afmid,9.93E-01,9.98E-01,9.96E-01,-1.00E+00,2.31E+01,2.32E+01
Aftph,Aftph,6.04E-01,8.32E-01,1.08E+00,1.08E+00,1.01E+03,9.35E+02
Aga,Aga,7.71E-01,9.14E-01,9.58E-01,-1.04E+00,3.12E+02,3.25E+02
Agap1,Agap1,9.10E-01,9.69E-01,1.01E+00,1.01E+00,5.03E+03,4.97E+03
Agap2,Agap2,4.34E-01,7.26E-01,1.19E+00,1.19E+00,1.84E+02,1.55E+02
Agap3,Agap3,6.06E-01,8.33E-01,9.32E-01,-1.07E+00,9.47E+02,1.02E+03
Agbl1,Agbl1,9.85E-01,?,9.77E-01,-1.02E+00,1.98E+00,2.03E+00
Agbl2,Agbl2,6.60E-01,8.61E-01,1.26E+00,1.26E+00,3.38E+01,2.68E+01
Agbl3,Agbl3,3.97E-01,6.98E-01,8.37E-01,-1.19E+00,9.61E+01,1.15E+02
Agbl4,Agbl4,7.12E-01,?,1.43E+00,1.43E+00,6.41E+00,4.49E+00
Agbl5,Agbl5,4.42E-02,2.34E-01,1.80E+00,1.80E+00,8.60E+01,4.77E+01
Ager,Ager,4.53E-01,?,1.72E+00,1.72E+00,9.20E+00,5.33E+00
Agfg1,Agfg1,6.58E-02,2.93E-01,1.28E+00,1.28E+00,1.63E+03,1.28E+03
Agfg2,Agfg2,3.77E-01,6.83E-01,8.56E-01,-1.17E+00,2.24E+02,2.62E+02
Aggf1,Aggf1,8.35E-02,3.32E-01,1.19E+00,1.19E+00,1.21E+03,1.02E+03
Agk,Agk,3.35E-01,6.47E-01,1.22E+00,1.22E+00,2.03E+02,1.67E+02
Agl,Agl,8.58E-01,9.50E-01,9.81E-01,-1.02E+00,6.98E+02,7.11E+02
Agmo,Agmo,1.35E-01,4.20E-01,8.36E-01,-1.20E+00,5.50E+02,6.58E+02
Ago1,Ago1,4.17E-01,7.12E-01,1.11E+00,1.11E+00,1.06E+03,9.53E+02
Gm16045,Gm16045,2.01E-03,3.67E-02,9.22E+00,9.22E+00,1.81E+01,1.97E+00
Gm26566,Gm26566,3.03E-03,4.74E-02,9.07E+00,9.07E+00,3.39E+01,3.74E+00
Ago4,Ago4,9.49E-02,3.52E-01,6.93E-01,-1.44E+00,1.59E+02,2.29E+02
Agpat1,Agpat1,1.09E-02,1.03E-01,1.44E+00,1.44E+00,4.26E+02,2.96E+02
Agpat2,Agpat2,5.88E-01,8.23E-01,8.63E-01,-1.16E+00,1.17E+02,1.36E+02
Agpat3,Agpat3,5.48E-01,7.98E-01,1.09E+00,1.09E+00,1.48E+03,1.36E+03
Agpat4,Agpat4,1.41E-01,4.28E-01,1.21E+00,1.21E+00,7.68E+02,6.33E+02
Agpat5,Agpat5,9.28E-01,9.75E-01,1.01E+00,1.01E+00,2.86E+02,2.82E+02
Agps,Agps,3.25E-01,6.38E-01,1.10E+00,1.10E+00,8.62E+02,7.85E+02
Agrn,Agrn,7.48E-01,9.03E-01,9.59E-01,-1.04E+00,9.49E+02,9.89E+02
Agt,Agt,4.82E-01,7.56E-01,1.84E+00,1.84E+00,2.85E+02,1.55E+02
Agtpbp1,Agtpbp1,4.62E-02,2.40E-01,1.24E+00,1.24E+00,9.35E+02,7.53E+02
Agtr1a,Agtr1a,5.78E-01,8.18E-01,8.99E-01,-1.11E+00,4.05E+02,4.50E+02
Agtr2,Agtr2,8.03E-01,9.28E-01,8.55E-01,-1.17E+00,1.93E+01,2.26E+01
Agtrap,Agtrap,9.22E-01,9.73E-01,1.02E+00,1.02E+00,1.38E+03,1.36E+03
Agxt,Agxt,5.37E-01,?,5.66E+00,5.66E+00,1.01E+00,1.79E-01
Agxt2,Agxt2,8.15E-01,?,1.41E+00,1.41E+00,2.80E+00,1.99E+00
Ahctf1,Ahctf1,1.36E-02,1.19E-01,1.41E+00,1.41E+00,3.91E+03,2.78E+03
Ahcy,Ahcy,8.22E-02,3.30E-01,5.81E-01,-1.72E+00,6.88E+01,1.19E+02
Ahcyl1,Ahcyl1,8.56E-01,9.49E-01,9.79E-01,-1.02E+00,3.17E+03,3.24E+03
Ahcyl2,Ahcyl2,2.66E-01,5.84E-01,1.18E+00,1.18E+00,5.17E+02,4.39E+02
Ahdc1,Ahdc1,4.01E-01,6.99E-01,1.15E+00,1.15E+00,1.22E+03,1.06E+03
Ahi1,Ahi1,4.12E-02,2.25E-01,1.30E+00,1.30E+00,6.61E+02,5.08E+02
C030032O16Rik,C030032O16Rik,9.55E-05,5.59E-03,9.04E+00,9.04E+00,3.92E+01,4.33E+00
Ahnak2,Ahnak2,2.81E-02,1.82E-01,1.65E+00,1.65E+00,8.74E+03,5.30E+03
Ahr,Ahr,3.43E-01,6.55E-01,1.24E+00,1.24E+00,1.78E+02,1.44E+02
Ahrr,Ahrr,6.53E-01,?,7.05E-01,-1.42E+00,5.56E+00,7.88E+00
Ahsa1,Ahsa1,4.21E-01,7.15E-01,9.07E-01,-1.10E+00,8.66E+02,9.55E+02
Ahsa2,Ahsa2,2.31E-01,5.45E-01,1.19E+00,1.19E+00,4.10E+02,3.46E+02
Ahsg,Ahsg,2.44E-02,?,7.41E+00,7.41E+00,1.47E+01,1.98E+00
AI115009,AI115009,1.70E-01,?,1.19E-01,-8.40E+00,9.75E-01,8.19E+00
AI182371,AI182371,2.83E-01,?,8.61E+00,8.61E+00,1.54E+00,1.79E-01
AI197445,AI197445,5.88E-01,?,5.66E-01,-1.77E+00,3.02E+00,5.33E+00
AI314278,AI314278,7.47E-01,?,1.48E+00,1.48E+00,3.64E+00,2.45E+00
AI413582,AI413582,2.40E-01,5.56E-01,7.70E-01,-1.30E+00,1.64E+02,2.13E+02
AI427809,AI427809,4.59E-01,7.42E-01,5.76E-01,-1.73E+00,9.47E+00,1.64E+01
AI429214,AI429214,6.33E-01,8.45E-01,8.51E-01,-1.17E+00,5.37E+01,6.31E+01
AI463170,AI463170,2.93E-01,?,3.24E+00,3.24E+00,4.89E+00,1.51E+00
AI463229,AI463229,9.75E-01,?,9.46E-01,-1.06E+00,9.59E-01,1.01E+00
AI467606,AI467606,7.56E-01,?,7.79E-01,-1.28E+00,1.06E+01,1.36E+01
AI480526,AI480526,4.46E-01,7.34E-01,7.32E-01,-1.37E+00,1.47E+01,2.01E+01
AI504432,AI504432,5.91E-01,?,1.55E+00,1.55E+00,8.90E+00,5.74E+00
Pram1,Pram1,7.31E-04,1.94E-02,8.89E+00,8.89E+00,2.69E+01,3.03E+00
AI593442,AI593442,4.77E-01,?,2.04E+00,2.04E+00,2.94E+00,1.44E+00
AI597479,AI597479,8.66E-02,3.37E-01,7.64E-01,-1.31E+00,2.38E+02,3.12E+02
AI606473,AI606473,3.98E-01,?,3.06E-01,-3.27E+00,9.58E-01,3.13E+00
AI661453,AI661453,9.98E-01,1.00E+00,9.99E-01,-1.00E+00,3.32E+01,3.33E+01
AI662270,AI662270,4.48E-01,7.35E-01,7.06E-01,-1.42E+00,1.62E+01,2.29E+01
AI837181,AI837181,1.28E-02,1.15E-01,6.51E-01,-1.54E+00,1.86E+02,2.87E+02
AI838599,AI838599,2.61E-01,5.79E-01,4.61E-01,-2.17E+00,1.42E+01,3.07E+01
AI839979,AI839979,3.81E-02,?,5.01E+00,5.01E+00,1.24E+01,2.48E+00
AI849053,AI849053,1.02E-01,?,6.18E+00,6.18E+00,6.17E+00,9.98E-01
AI854703,AI854703,6.32E-01,8.45E-01,7.61E-01,-1.31E+00,1.39E+01,1.82E+01
AI987944,AI987944,1.30E-01,4.13E-01,7.28E-01,-1.37E+00,1.61E+02,2.22E+02
Aicda,Aicda,2.33E-01,?,1.04E+01,1.04E+01,1.86E+00,1.79E-01
Aida,Aida,6.95E-01,8.78E-01,9.53E-01,-1.05E+00,9.84E+02,1.03E+03
Aif1,Aif1,6.56E-01,8.59E-01,8.56E-01,-1.17E+00,2.52E+01,2.94E+01
Aif1l,Aif1l,3.60E-01,6.68E-01,6.75E-01,-1.48E+00,1.15E+03,1.71E+03
Aifm1,Aifm1,1.97E-01,5.07E-01,1.17E+00,1.17E+00,4.17E+02,3.55E+02
Aifm2,Aifm2,8.25E-01,9.38E-01,9.62E-01,-1.04E+00,2.38E+02,2.48E+02
Aifm3,Aifm3,7.52E-01,?,1.37E+00,1.37E+00,5.74E+00,4.19E+00
Aig1,Aig1,1.54E-01,4.49E-01,1.21E+00,1.21E+00,3.95E+02,3.26E+02
Aim2,Aim2,9.90E-01,9.97E-01,9.94E-01,-1.01E+00,1.81E+01,1.82E+01
Aimp1,Aimp1,8.36E-02,3.32E-01,8.12E-01,-1.23E+00,6.58E+02,8.10E+02
Aimp2,Aimp2,1.32E-01,4.15E-01,7.31E-01,-1.37E+00,1.42E+02,1.94E+02
Aip,Aip,7.14E-03,8.05E-02,7.27E-01,-1.38E+00,5.25E+02,7.23E+02
Aipl1,Aipl1,7.37E-01,?,7.25E-01,-1.38E+00,5.48E+00,7.56E+00
Aire,Aire,3.85E-01,?,6.69E+00,6.69E+00,1.20E+00,1.79E-01
Gm43804,Gm43804,2.42E-03,4.12E-02,8.82E+00,8.82E+00,2.09E+01,2.37E+00
Ajap1,Ajap1,7.13E-01,?,7.66E-01,-1.30E+00,4.39E+00,5.72E+00
Ajm1,Ajm1,9.24E-02,3.47E-01,2.16E+00,2.16E+00,2.38E+01,1.10E+01
Ajuba,Ajuba,6.09E-01,8.34E-01,8.53E-01,-1.17E+00,4.75E+01,5.57E+01
Ak1,Ak1,2.73E-01,5.91E-01,8.15E-01,-1.23E+00,5.61E+02,6.88E+02
AK157302,AK157302,5.96E-02,2.77E-01,6.86E-01,-1.46E+00,1.39E+02,2.02E+02
Ak2,Ak2,6.07E-01,8.33E-01,1.08E+00,1.08E+00,3.98E+02,3.67E+02
Ak3,Ak3,1.21E-01,3.98E-01,8.41E-01,-1.19E+00,1.48E+03,1.76E+03
Ak3l2-ps,Ak3l2-ps,8.72E-01,9.55E-01,1.07E+00,1.07E+00,3.37E+01,3.16E+01
Ak4,Ak4,2.18E-01,5.31E-01,1.49E+00,1.49E+00,1.11E+02,7.48E+01
Ak5,Ak5,9.62E-01,9.87E-01,9.82E-01,-1.02E+00,6.28E+01,6.40E+01
Ak6,Ak6,5.02E-02,2.52E-01,7.29E-01,-1.37E+00,3.75E+02,5.14E+02
Ak7,Ak7,2.51E-01,5.68E-01,1.79E+00,1.79E+00,2.19E+01,1.23E+01
Ak8,Ak8,6.11E-01,?,5.98E-01,-1.67E+00,2.71E+00,4.53E+00
Ak9,Ak9,8.54E-03,9.02E-02,2.21E-01,-4.52E+00,5.85E+00,2.65E+01
Akain1,Akain1,8.14E-01,?,5.90E-01,-1.69E+00,1.81E+00,3.07E+00
Akap1,Akap1,2.71E-01,5.90E-01,1.12E+00,1.12E+00,5.56E+02,4.97E+02
Akap10,Akap10,4.47E-01,7.35E-01,9.10E-01,-1.10E+00,3.82E+02,4.20E+02
Akap11,Akap11,2.96E-02,1.88E-01,1.23E+00,1.23E+00,2.33E+03,1.90E+03
Akap12,Akap12,1.71E-02,1.36E-01,1.24E+00,1.24E+00,1.81E+04,1.46E+04
Gm50008,Gm50008,2.93E-05,2.62E-03,8.65E+00,8.65E+00,3.40E+01,3.93E+00
Akap14,Akap14,4.92E-01,?,4.24E-01,-2.36E+00,1.73E+00,4.08E+00
Akap17b,Akap17b,1.24E-01,4.02E-01,7.44E-01,-1.34E+00,1.16E+02,1.55E+02
Akap3,Akap3,5.97E-01,?,3.14E-01,-3.19E+00,1.29E+00,4.10E+00
Akap5,Akap5,2.76E-01,5.95E-01,1.50E+00,1.50E+00,5.67E+01,3.79E+01
Akap6,Akap6,6.09E-01,8.34E-01,1.16E+00,1.16E+00,1.42E+02,1.23E+02
Gm7054,Gm7054,2.47E-03,4.17E-02,8.06E-02,-1.24E+01,1.77E+00,2.20E+01
Akap8,Akap8,2.13E-01,5.25E-01,1.17E+00,1.17E+00,1.40E+03,1.20E+03
Akap8l,Akap8l,9.76E-01,9.93E-01,9.97E-01,-1.00E+00,1.09E+03,1.09E+03
Gm29237,Gm29237,1.07E-03,2.49E-02,8.59E+00,8.59E+00,1.74E+01,2.03E+00
Akip1,Akip1,4.32E-01,7.24E-01,8.66E-01,-1.16E+00,1.58E+02,1.82E+02
Akirin1,Akirin1,5.59E-01,8.05E-01,1.06E+00,1.06E+00,7.92E+02,7.48E+02
Akirin1-ps,Akirin1-ps,3.93E-01,?,2.92E+00,2.92E+00,5.24E+00,1.79E+00
Akirin2,Akirin2,9.01E-01,9.65E-01,9.88E-01,-1.01E+00,7.26E+02,7.35E+02
Runx2os1,Runx2os1,1.69E-03,3.27E-02,8.36E+00,8.36E+00,2.59E+01,3.10E+00
Aknad1,Aknad1,5.21E-01,7.81E-01,7.31E-01,-1.37E+00,1.62E+01,2.21E+01
Aknaos,Aknaos,4.25E-01,?,4.89E-01,-2.04E+00,4.04E+00,8.25E+00
Akp-ps1,Akp-ps1,8.51E-01,?,8.22E-01,-1.22E+00,4.20E+00,5.11E+00
Il18r1,Il18r1,7.05E-05,4.51E-03,9.46E-02,-1.06E+01,7.40E+00,7.82E+01
Akr1b10,Akr1b10,2.49E-01,5.66E-01,7.65E-01,-1.31E+00,1.14E+02,1.49E+02
Akr1b3,Akr1b3,2.89E-01,6.08E-01,8.56E-01,-1.17E+00,3.64E+02,4.25E+02
Akr1b8,Akr1b8,6.13E-01,8.36E-01,9.51E-01,-1.05E+00,7.56E+02,7.95E+02
Akr1c12,Akr1c12,5.87E-01,?,2.03E+00,2.03E+00,3.20E+00,1.58E+00
Akr1c13,Akr1c13,6.37E-01,8.47E-01,7.50E-01,-1.33E+00,1.30E+01,1.73E+01
Akr1c14,Akr1c14,5.79E-01,8.18E-01,7.17E-01,-1.39E+00,1.62E+02,2.26E+02
Akr1c18,Akr1c18,4.30E-02,2.30E-01,3.42E-01,-2.93E+00,4.99E+01,1.46E+02
Akr1c19,Akr1c19,5.15E-01,?,5.03E-01,-1.99E+00,7.04E+00,1.40E+01
Akr1e1,Akr1e1,6.92E-02,3.01E-01,6.64E-01,-1.51E+00,1.65E+02,2.49E+02
Akr7a5,Akr7a5,2.35E-02,1.63E-01,6.42E-01,-1.56E+00,1.46E+02,2.28E+02
Akt1,Akt1,3.59E-01,6.67E-01,9.17E-01,-1.09E+00,2.03E+03,2.22E+03
Akt1s1,Akt1s1,1.03E-01,3.67E-01,7.68E-01,-1.30E+00,3.30E+02,4.29E+02
Akt2,Akt2,3.50E-02,2.05E-01,7.94E-01,-1.26E+00,1.92E+03,2.42E+03
Akt2-ps,Akt2-ps,4.80E-03,6.33E-02,6.46E-01,-1.55E+00,3.47E+02,5.37E+02
Akt3,Akt3,7.40E-01,9.00E-01,1.05E+00,1.05E+00,1.84E+03,1.75E+03
Aktip,Aktip,8.21E-02,3.30E-01,7.67E-01,-1.30E+00,5.81E+02,7.57E+02
AL607073.1,AL607073.1,6.59E-02,?,2.76E-02,-3.63E+01,1.78E-01,6.46E+00
AL645861.1,AL645861.1,2.47E-01,?,1.16E+01,1.16E+01,2.07E+00,1.79E-01
AL663045.1,AL663045.1,1.91E-01,?,2.53E+01,2.53E+01,4.53E+00,1.79E-01
AL731706.1,AL731706.1,5.62E-01,8.06E-01,1.23E+00,1.23E+00,5.86E+01,4.75E+01
AL732309.1,AL732309.1,3.37E-01,?,1.16E+01,1.16E+01,2.07E+00,1.79E-01
AL845275.1,AL845275.1,9.17E-01,?,8.29E-01,-1.21E+00,1.39E+00,1.67E+00
AL935121.1,AL935121.1,7.53E-01,?,5.98E-01,-1.67E+00,3.88E+00,6.48E+00
Alad,Alad,3.69E-01,6.75E-01,8.32E-01,-1.20E+00,9.16E+01,1.10E+02
Alas1,Alas1,8.43E-01,9.44E-01,9.75E-01,-1.03E+00,1.37E+03,1.41E+03
Alas2,Alas2,6.14E-03,7.32E-02,3.38E-01,-2.96E+00,2.92E+01,8.64E+01
Alb,Alb,3.11E-01,?,1.56E+01,1.56E+01,2.79E+00,1.79E-01
Alcam,Alcam,8.44E-01,9.45E-01,1.07E+00,1.07E+00,6.37E+01,5.95E+01
Aldh16a1,Aldh16a1,8.41E-01,9.43E-01,1.03E+00,1.03E+00,1.50E+02,1.45E+02
Aldh18a1,Aldh18a1,5.97E-01,8.28E-01,1.09E+00,1.09E+00,8.59E+02,7.90E+02
Aldh1a1,Aldh1a1,9.91E-02,3.60E-01,7.91E-01,-1.26E+00,2.61E+03,3.29E+03
Aldh1a2,Aldh1a2,5.32E-01,7.89E-01,1.34E+00,1.34E+00,2.25E+03,1.68E+03
Aldh1a3,Aldh1a3,3.99E-02,2.22E-01,6.81E-01,-1.47E+00,9.03E+02,1.33E+03
Aldh1a7,Aldh1a7,1.17E-01,?,1.56E-01,-6.41E+00,1.71E+00,1.10E+01
Aldh1b1,Aldh1b1,1.75E-01,?,4.56E-01,-2.19E+00,5.96E+00,1.31E+01
Tdo2,Tdo2,7.22E-04,1.93E-02,1.03E-01,-9.74E+00,2.80E+01,2.72E+02
Slc1a7,Slc1a7,2.13E-03,3.82E-02,8.21E+00,8.21E+00,2.86E+01,3.48E+00
Prss23os,Prss23os,2.30E-04,9.23E-03,1.09E-01,-9.16E+00,7.11E+00,6.51E+01
Aldh3a1,Aldh3a1,8.57E-02,3.35E-01,5.32E-01,-1.88E+00,5.76E+01,1.08E+02
Aldh3a2,Aldh3a2,2.29E-02,1.61E-01,7.54E-01,-1.33E+00,8.84E+02,1.17E+03
Aldh3b1,Aldh3b1,3.59E-01,6.67E-01,1.14E+00,1.14E+00,3.06E+02,2.69E+02
Aldh3b2,Aldh3b2,2.07E-01,?,7.95E-02,-1.26E+01,6.11E-01,7.69E+00
Aldh3b3,Aldh3b3,5.41E-01,?,5.28E-01,-1.89E+00,6.16E+00,1.17E+01
Aldh4a1,Aldh4a1,7.73E-03,8.50E-02,5.27E-01,-1.90E+00,9.88E+01,1.88E+02
Aldh5a1,Aldh5a1,7.66E-01,9.12E-01,9.27E-01,-1.08E+00,8.24E+01,8.89E+01
Aldh6a1,Aldh6a1,6.51E-03,7.58E-02,7.45E-01,-1.34E+00,5.91E+02,7.93E+02
Aldh7a1,Aldh7a1,3.59E-02,2.08E-01,7.42E-01,-1.35E+00,1.08E+03,1.45E+03
Aldh8a1,Aldh8a1,5.28E-01,?,1.87E+00,1.87E+00,6.49E+00,3.47E+00
Aldh9a1,Aldh9a1,3.11E-01,6.25E-01,1.15E+00,1.15E+00,6.27E+02,5.47E+02
Aldoa,Aldoa,1.65E-02,1.34E-01,8.33E-01,-1.20E+00,6.16E+03,7.39E+03
Aldoart1,Aldoart1,5.31E-02,2.60E-01,5.28E-01,-1.89E+00,2.48E+01,4.69E+01
Aldoart2,Aldoart2,5.10E-01,?,3.48E-01,-2.88E+00,7.06E-01,2.03E+00
Aldob,Aldob,2.37E-02,?,2.28E+01,2.28E+01,4.07E+00,1.79E-01
Aldoc,Aldoc,4.43E-01,?,3.79E-01,-2.64E+00,1.70E+00,4.50E+00
Alg1,Alg1,9.97E-01,9.99E-01,1.00E+00,1.00E+00,2.68E+02,2.68E+02
Alg10b,Alg10b,2.72E-01,5.90E-01,1.16E+00,1.16E+00,5.25E+02,4.54E+02
Alg11,Alg11,8.96E-02,3.42E-01,7.62E-01,-1.31E+00,4.17E+02,5.47E+02
Alg12,Alg12,7.27E-01,8.94E-01,9.24E-01,-1.08E+00,1.19E+02,1.28E+02
Alg13,Alg13,8.92E-01,9.62E-01,1.03E+00,1.03E+00,1.28E+02,1.24E+02
Alg14,Alg14,1.73E-01,4.76E-01,7.94E-01,-1.26E+00,2.09E+02,2.64E+02
Alg2,Alg2,3.54E-01,6.63E-01,8.82E-01,-1.13E+00,2.87E+02,3.26E+02
Alg3,Alg3,3.39E-01,6.51E-01,7.76E-01,-1.29E+00,5.52E+01,7.10E+01
Alg5,Alg5,2.26E-01,5.41E-01,8.27E-01,-1.21E+00,3.49E+02,4.21E+02
Alg6,Alg6,8.27E-01,9.38E-01,9.63E-01,-1.04E+00,1.28E+02,1.33E+02
Alg8,Alg8,6.57E-01,8.59E-01,1.19E+00,1.19E+00,4.38E+01,3.68E+01
Alg9,Alg9,7.86E-01,9.21E-01,1.07E+00,1.07E+00,2.29E+02,2.15E+02
Alk,Alk,2.28E-02,?,1.06E-01,-9.44E+00,1.20E+00,1.14E+01
Alkal2,Alkal2,1.76E-01,4.81E-01,5.12E-01,-1.95E+00,1.92E+02,3.76E+02
Alkbh1,Alkbh1,3.89E-02,2.18E-01,1.50E+00,1.50E+00,3.91E+02,2.60E+02
Alkbh2,Alkbh2,5.37E-01,7.91E-01,1.27E+00,1.27E+00,3.72E+01,2.94E+01
Alkbh3,Alkbh3,4.85E-01,7.58E-01,9.04E-01,-1.11E+00,2.47E+02,2.73E+02
Alkbh3os1,Alkbh3os1,8.66E-01,?,1.22E+00,1.22E+00,4.54E+00,3.71E+00
Alkbh4,Alkbh4,7.96E-01,9.24E-01,9.10E-01,-1.10E+00,2.77E+01,3.04E+01
Alkbh5,Alkbh5,2.45E-01,5.62E-01,1.17E+00,1.17E+00,2.98E+03,2.54E+03
Alkbh6,Alkbh6,5.83E-01,8.20E-01,8.79E-01,-1.14E+00,8.38E+01,9.54E+01
Alkbh7,Alkbh7,2.58E-02,1.73E-01,4.79E-01,-2.09E+00,3.12E+01,6.52E+01
Alkbh8,Alkbh8,5.11E-01,7.75E-01,8.97E-01,-1.12E+00,1.70E+02,1.90E+02
Alms1,Alms1,1.88E-01,4.97E-01,1.13E+00,1.13E+00,1.12E+03,9.86E+02
Alms1-ps1,Alms1-ps1,5.77E-01,8.17E-01,1.22E+00,1.22E+00,3.10E+01,2.54E+01
Alms1-ps2,Alms1-ps2,1.66E-01,4.66E-01,5.66E-01,-1.77E+00,4.18E+01,7.38E+01
Alox12,Alox12,7.16E-02,3.07E-01,2.06E+00,2.06E+00,4.96E+01,2.40E+01
Alox12e,Alox12e,1.37E-01,?,6.38E-02,-1.57E+01,2.94E-01,4.60E+00
Alox15,Alox15,2.46E-02,?,6.13E+01,6.13E+01,1.10E+01,1.79E-01
Alox5,Alox5,6.15E-01,8.37E-01,1.36E+00,1.36E+00,3.32E+01,2.44E+01
Alox5ap,Alox5ap,6.84E-01,8.74E-01,1.14E+00,1.14E+00,6.91E+01,6.04E+01
Aloxe3,Aloxe3,4.00E-02,2.22E-01,2.56E+00,2.56E+00,3.71E+01,1.45E+01
Gm42607,Gm42607,2.99E-04,1.09E-02,8.17E+00,8.17E+00,2.38E+01,2.92E+00
Alpk2,Alpk2,3.83E-01,6.87E-01,6.76E-01,-1.48E+00,2.35E+01,3.47E+01
Alpk3,Alpk3,1.10E-01,3.79E-01,1.45E+00,1.45E+00,3.35E+02,2.31E+02
Alpl,Alpl,2.56E-01,5.74E-01,1.17E+00,1.17E+00,7.80E+02,6.66E+02
Als2,Als2,1.40E-01,4.28E-01,1.21E+00,1.21E+00,5.09E+02,4.22E+02
Als2cl,Als2cl,1.28E-01,4.09E-01,1.54E+00,1.54E+00,1.14E+02,7.38E+01
Alx1,Alx1,7.06E-01,?,4.42E-01,-2.26E+00,1.81E+00,4.10E+00
Alx3,Alx3,2.39E-01,?,1.29E-01,-7.73E+00,4.98E-01,3.85E+00
Alx4,Alx4,5.50E-01,8.00E-01,1.18E+00,1.18E+00,1.14E+02,9.66E+01
Alyref,Alyref,1.79E-01,4.85E-01,1.17E+00,1.17E+00,8.73E+02,7.44E+02
Alyref2,Alyref2,6.92E-01,8.77E-01,8.79E-01,-1.14E+00,3.56E+01,4.05E+01
Amacr,Amacr,7.02E-01,8.81E-01,9.27E-01,-1.08E+00,1.45E+02,1.57E+02
Ambra1,Ambra1,5.66E-01,8.10E-01,9.40E-01,-1.06E+00,8.40E+02,8.93E+02
Amd1,Amd1,9.65E-01,9.89E-01,9.94E-01,-1.01E+00,1.07E+03,1.08E+03
Amd2,Amd2,1.91E-01,4.99E-01,1.69E+00,1.69E+00,8.14E+01,4.81E+01
Amdhd1,Amdhd1,5.24E-01,?,5.66E-01,-1.77E+00,3.62E+00,6.39E+00
Amdhd2,Amdhd2,7.64E-01,9.11E-01,1.07E+00,1.07E+00,1.20E+02,1.12E+02
Amd-ps3,Amd-ps3,8.54E-02,3.34E-01,7.76E-01,-1.29E+00,2.36E+02,3.04E+02
